year,month,day,hod,temp,pressure,direction,dirfixed,speed
2015,7,28,19.033333333333335,78.0,30.1,326.0,326.0,9.5
2015,7,28,19.05,78.1,30.1,317.0,317.0,9.3
2015,7,28,19.066666666666666,78.0,30.1,306.0,306.0,8.3
2015,7,28,19.083333333333332,78.0,30.1,306.0,306.0,7.0
2015,7,28,19.1,78.1,30.1,329.0,329.0,7.6
2015,7,28,19.116666666666667,78.0,30.1,323.0,323.0,12.1
2015,7,28,19.133333333333333,77.9,30.1,327.0,327.0,11.2
2015,7,28,19.15,78.0,30.1,328.0,328.0,10.9
2015,7,28,19.166666666666668,77.9,30.1,330.0,330.0,12.3
2015,7,28,19.316666666666666,77.6,30.1,316.0,316.0,10.4
2015,7,28,19.333333333333332,77.6,30.1,318.0,318.0,9.5
2015,7,28,19.35,77.5,30.1,313.0,313.0,6.1
2015,7,28,19.366666666666667,77.4,30.1,319.0,319.0,8.8
2015,7,28,19.383333333333333,77.4,30.1,314.0,314.0,10.3
2015,7,28,19.4,77.4,30.1,312.0,312.0,9.7
2015,7,28,19.416666666666668,77.5,30.1,310.0,310.0,8.6
2015,7,28,19.433333333333334,77.5,30.1,315.0,315.0,8.2
2015,7,28,19.45,77.6,30.1,310.0,310.0,7.6
2015,7,28,19.466666666666665,77.6,30.1,310.0,310.0,9.4
2015,7,28,19.483333333333334,77.5,30.1,306.0,306.0,8.6
2015,7,28,19.5,77.5,30.1,321.0,321.0,8.4
2015,7,28,19.516666666666666,77.4,30.1,317.0,317.0,9.7
2015,7,28,19.533333333333335,77.4,30.1,321.0,321.0,9.3
2015,7,28,19.55,77.3,30.1,332.0,332.0,8.0
2015,7,28,19.566666666666666,77.3,30.1,327.0,327.0,9.8
2015,7,28,19.583333333333332,77.4,30.1,331.0,331.0,10.2
2015,7,28,19.6,77.4,30.1,329.0,329.0,9.2
2015,7,28,19.616666666666667,77.4,30.1,311.0,311.0,7.7
2015,7,28,19.633333333333333,77.3,30.1,310.0,310.0,9.0
2015,7,28,19.65,77.2,30.1,314.0,314.0,7.2
2015,7,28,19.666666666666668,77.2,30.1,312.0,312.0,10.5
2015,7,28,19.683333333333334,77.2,30.1,307.0,307.0,7.9
